"01/01 07:00",-0.4 ,"01/01 15:00",4.6 ,"01/01",64.2,2.1 
"02/01 07:00",-0.2 ,"02/01 15:00",5,"02/01",64.2,2.4 
"03/01 07:00",0.5 ,"03/01 15:00",4.8 ,"03/01",64.2,2.6 
"04/01 07:00",-0.9 ,"04/01 15:00",4.8 ,"04/01",64.2,2
"05/01 07:00",-0.3 ,"05/01 15:00",5.2 ,"05/01",64.2,2.5 
"06/01 07:00",-0.4 ,"06/01 15:00",5.2 ,"06/01",64.2,2.5 
"07/01 07:00",-0.2 ,"07/01 15:00",4.5 ,"07/01",64.2,2.1 
"08/01 07:00",-0.7 ,"08/01 15:00",4.3 ,"08/01",64.2,1.8 
"09/01 07:00",-0.9 ,"09/01 15:00",4,"09/01",64.2,1.6 
"10/01 07:00",-0.4 ,"10/01 15:00",4.6 ,"10/01",64.2,2.1 
"11/01 07:00",-0.3 ,"11/01 15:00",4.7 ,"11/01",64.2,2.2 
"12/01 07:00",-1.1 ,"12/01 15:00",4.3 ,"12/01",64.2,1.6 
"13/01 07:00",-1.8 ,"13/01 15:00",5,"13/01",64.2,1.6 
"14/01 07:00",-1,"14/01 15:00",4.6 ,"14/01",64.2,1.8 
"15/01 07:00",-1.3 ,"15/01 15:00",3.6 ,"15/01",64.2,1.1 
"16/01 07:00",-1.3 ,"16/01 15:00",4.4 ,"16/01",64.2,1.6 
"17/01 07:00",-0.8 ,"17/01 15:00",5.2 ,"17/01",64.2,2.2 
"18/01 07:00",0.1 ,"18/01 15:00",4.9 ,"18/01",64.2,2.5 
"19/01 07:00",0.3 ,"19/01 15:00",5.1 ,"19/01",64.2,2.7 
"20/01 07:00",1.2 ,"20/01 15:00",5.4 ,"20/01",64.2,3.3 
"21/01 07:00",0.5 ,"21/01 15:00",5.3 ,"21/01",64.2,2.9 
"22/01 07:00",-0.1 ,"22/01 15:00",5.5 ,"22/01",64.2,2.7 
"23/01 07:00",-0.2 ,"23/01 15:00",5.1 ,"23/01",64.2,2.5 
"24/01 07:00",-0.1 ,"24/01 15:00",4.6 ,"24/01",64.2,2.3 
