"DATE","Z500","T850"
"01/01",550,-1.4
"02/01",553.2,-2.5
"03/01",544.5,-0.4
"04/01",549.333333333333,-6
"05/01",548,-3.33333333333333
"06/01",549.333333333333,-2
"07/01",550.545454545455,-2
"08/01",550.666666666667,-2
"09/01",554,-2.25
"10/01",554.909090909091,-2.66666666666667
"11/01",551.555555555556,-0.833333333333333
"12/01",556,-2
"13/01",554.333333333333,-1.71428571428571
"14/01",556,-0.333333333333333
"15/01",559.692307692308,-2
"16/01",559.333333333333,0
"17/01",559.384615384615,-1.33333333333333
"18/01",555.6,-2.4
"19/01",554.285714285714,-2.76923076923077
"20/01",552,-1.5
"21/01",544.888888888889,-2
"22/01",552,-3.75
"23/01",553.2,-1
"24/01",557.142857142857,-0.5
"25/01",550.666666666667,-1
"26/01",548.8,-4.36363636363636
"27/01",548.4,-3.66666666666667
"28/01",547.636363636364,-4.66666666666667
"29/01",551.6,-2
"30/01",556.4,0.2
"31/01",555.555555555556,-2.54545454545455
"01/02",554.666666666667,-0.75
"02/02",556.307692307692,-2.8
"03/02",552.615384615385,0.5
"04/02",564,1.71428571428571
"05/02",550.666666666667,-1.14285714285714
"06/02",548.666666666667,-3.75
"07/02",551.142857142857,-3.63636363636364
"08/02",545.6,-2.4
"09/02",549.454545454545,-3
"10/02",544,-3.66666666666667
"11/02",556,1.2
"12/02",551.666666666667,-5.11111111111111
"13/02",550,-5.09090909090909
"14/02",550,-4.22222222222222
"15/02",545.818181818182,-3.16666666666667
"16/02",551.636363636364,0.571428571428571
"17/02",548.444444444444,-4.28571428571429
"18/02",552.666666666667,-2.72727272727273
"19/02",551.466666666667,-2.8
"20/02",546,-2
"21/02",550.153846153846,-1.6
"22/02",550,-1.8
"23/02",548.333333333333,-5.11111111111111
"24/02",552.888888888889,-1.71428571428571
"25/02",551.692307692308,-4
"26/02",547.2,-5
"27/02",549.5,-2.25
"28/02",548.666666666667,-1.42857142857143
"01/03",548,-3.09090909090909
"02/03",545.142857142857,-2
"03/03",552.571428571429,-2.5
"04/03",546.666666666667,-4.66666666666667
"05/03",549.428571428571,-2
"06/03",550.461538461538,-3.14285714285714
"07/03",549.6,-3.55555555555556
"08/03",558.8,0.727272727272727
"09/03",556,-0.166666666666667
"10/03",556,-1.5
"11/03",553.818181818182,2
"12/03",556.266666666667,1.33333333333333
"13/03",552.857142857143,-3.16666666666667
"14/03",560.363636363636,0.333333333333333
"15/03",555.692307692308,-1.4
"16/03",561.666666666667,0.545454545454545
