"DATE","Z500","T850"
"01/01",551.066666666667,-1
"02/01",548.933333333333,-1.86666666666667
"03/01",548.266666666667,-2.33333333333333
"04/01",549.290322580645,-2.4
"05/01",546.533333333333,-3.33333333333333
"06/01",547.733333333333,-2
"07/01",547.866666666667,-2.26666666666667
"08/01",548.666666666667,-3.66666666666667
"09/01",551.612903225806,-2.13333333333333
"10/01",552.8,-1.66666666666667
"11/01",553.733333333333,-1.46666666666667
"12/01",552,-2.33333333333333
"13/01",552.4,-2.46666666666667
"14/01",553.2,-1.53333333333333
"15/01",552.666666666667,-2
"16/01",554.266666666667,-0.933333333333333
"17/01",554.666666666667,-0.533333333333333
"18/01",553.2,-1.4
"19/01",552.533333333333,-1.93333333333333
"20/01",551.2,-1.66666666666667
"21/01",552.266666666667,-2.53333333333333
"22/01",552.533333333333,-1.93333333333333
"23/01",551.866666666667,-1.73333333333333
"24/01",550.266666666667,-1.26666666666667
"25/01",550,-3.29032258064516
"26/01",550,-2.93333333333333
"27/01",547.866666666667,-3.8
"28/01",551.333333333333,-2.4
"29/01",549.6,-2.4
"30/01",551.866666666667,-1.26666666666667
"31/01",551.866666666667,-1.86666666666667
"01/02",553.866666666667,-1.66666666666667
"02/02",554.064516129032,-0.733333333333333
"03/02",554.266666666667,-0.8
"04/02",552.933333333333,-1.26666666666667
"05/02",553.2,-0.666666666666667
"06/02",550,-1.6
"07/02",549.866666666667,-1.86666666666667
"08/02",548.645161290323,-2.13333333333333
"09/02",547.066666666667,-2.86666666666667
"10/02",547.6,-2.93333333333333
"11/02",548.266666666667,-3.53333333333333
"12/02",550.133333333333,-3
"13/02",546.933333333333,-3.53333333333333
"14/02",547.866666666667,-3.86666666666667
"15/02",550.533333333333,-3.2258064516129
"16/02",550.533333333333,-3
"17/02",548,-4.06666666666667
"18/02",548.666666666667,-3.93333333333333
"19/02",548.133333333333,-3.66666666666667
"20/02",548.533333333333,-3.26666666666667
"21/02",549.066666666667,-3.33333333333333
"22/02",549.2,-3.6
"23/02",547.733333333333,-3.61290322580645
"24/02",546.533333333333,-3.6
"25/02",547.333333333333,-2
"26/02",547.2,-1.8
"27/02",545.466666666667,-2.26666666666667
"28/02",547.066666666667,-2.06666666666667
"01/03",544.933333333333,-1.86666666666667
"02/03",544.4,-2.6
"03/03",546.533333333333,-3.13333333333333
"04/03",546.8,-2.8
"05/03",547.733333333333,-2.13333333333333
"06/03",550.8,-2.26666666666667
"07/03",551.2,-2.26666666666667
"08/03",552.8,-1.4
"09/03",552.133333333333,-1.4
"10/03",554.133333333333,-1.6
"11/03",554.933333333333,-0.0666666666666667
"12/03",554.533333333333,-0.466666666666667
"13/03",551.870967741935,-1.2
"14/03",553.333333333333,-1.33333333333333
"15/03",553.866666666667,-1
"16/03",554,-0.133333333333333
"17/03",554.533333333333,0.2
"18/03",554.266666666667,0
"19/03",551.866666666667,-0.6
"20/03",551.066666666667,-1
"21/03",551.466666666667,0.0666666666666667
"22/03",548.933333333333,-0.533333333333333
"23/03",550.933333333333,-1.2
"24/03",549.733333333333,-0.333333333333333
"25/03",549.866666666667,-0.133333333333333
"26/03",548.903225806452,-0.6
"27/03",548,-0.933333333333333
"28/03",547.866666666667,-0.466666666666667
"29/03",546.933333333333,-1.06666666666667
"30/03",549.733333333333,0
"31/03",553.066666666667,0.6
"01/04",553.6,1.46666666666667
"02/04",552,1.6
"03/04",550.8,1.2
"04/04",551.2,0.266666666666667
"05/04",549.6,-0.533333333333333
"06/04",549.866666666667,-0.533333333333333
"07/04",550.533333333333,0.516129032258065
"08/04",550.533333333333,0.466666666666667
"09/04",551.733333333333,-0.333333333333333
"10/04",551.333333333333,0.2
"11/04",550.8,0.4
"12/04",550.193548387097,-0.266666666666667
"13/04",548.133333333333,-0.666666666666667
"14/04",550,-0.533333333333333
"15/04",552.8,1.26666666666667
"16/04",552,0.933333333333333
"17/04",550.8,0.866666666666667
"18/04",551.2,0.4
"19/04",550.533333333333,0.666666666666667
"20/04",550.666666666667,0.666666666666667
"21/04",554,2.06666666666667
"22/04",556.266666666667,3.4
"23/04",556.666666666667,3.61290322580645
"24/04",556.933333333333,2.7741935483871
"25/04",558.58064516129,4
"26/04",558.58064516129,4.33333333333333
"27/04",557.6,3.73333333333333
"28/04",557.333333333333,3.35483870967742
"29/04",557.466666666667,3.4
"30/04",557.2,3.8
"01/05",558.533333333333,4.13333333333333
"02/05",558.933333333333,4.46666666666667
"03/05",559.2,4.6
"04/05",558.666666666667,4.2
"05/05",557.6,3.8
"06/05",558.533333333333,4.26666666666667
"07/05",559.733333333333,4.6
"08/05",560.133333333333,5.46666666666667
"09/05",559.066666666667,4.66666666666667
"10/05",560,5.26666666666667
"11/05",559.333333333333,5.26666666666667
"12/05",559.333333333333,5.4
"13/05",560.8,5.26666666666667
"14/05",561.6,5.93333333333333
"15/05",561.466666666667,5.13333333333333
"16/05",561.866666666667,5.46666666666667
"17/05",562.533333333333,6.26666666666667
"18/05",563.333333333333,6.4
"19/05",563.333333333333,5.74193548387097
"20/05",563.612903225806,5.66666666666667
"21/05",562.8,6.33333333333333
"22/05",562.322580645161,5.13333333333333
"23/05",564.666666666667,5.4
"24/05",565.333333333333,6.4
"25/05",566.666666666667,7.26666666666667
"26/05",567.333333333333,7.67741935483871
"27/05",565.2,7.46666666666667
"28/05",564.933333333333,6.66666666666667
"29/05",565.466666666667,6.38709677419355
"30/05",565.733333333333,6.33333333333333
"31/05",565.6,6.45161290322581
"01/06",566.933333333333,6.73333333333333
"02/06",567.733333333333,8.13333333333333
"03/06",566.4,7.66666666666667
"04/06",566.133333333333,7
"05/06",565.6,7
"06/06",565.6,7.46666666666667
"07/06",566.4,7.6
"08/06",566.666666666667,7.86666666666667
"09/06",568.645161290323,7.53333333333333
"10/06",569.2,8.66666666666667
"11/06",567.733333333333,8.53333333333333
"12/06",568,7.26666666666667
"13/06",568.774193548387,7.06666666666667
"14/06",570,7.86666666666667
"15/06",570.933333333333,8.66666666666667
"16/06",569.2,7.75
"17/06",569.333333333333,7.4
"18/06",570.4,8.53333333333333
"19/06",570.933333333333,8.6
"20/06",570.133333333333,9.13333333333333
"21/06",570.533333333333,9.06666666666667
"22/06",570.064516129032,8.73333333333333
"23/06",569.866666666667,8.2
"24/06",570.266666666667,8.66666666666667
"25/06",572.533333333333,9.26666666666667
"26/06",572.533333333333,10.0666666666667
"27/06",572.903225806452,9.93333333333333
"28/06",571.466666666667,9.53333333333333
"29/06",573.066666666667,9.61290322580645
"30/06",572.933333333333,9.46666666666667
"01/07",573.333333333333,10.4
"02/07",572.4,10
"03/07",572,10.9032258064516
"04/07",572.266666666667,10
"05/07",573.866666666667,10.2666666666667
"06/07",572.8,9.66666666666667
"07/07",573.2,9.6
"08/07",572.933333333333,9.4
"09/07",572.666666666667,9.93333333333333
"10/07",573.733333333333,10.2666666666667
"11/07",574.266666666667,10.4
"12/07",574.709677419355,10.4666666666667
"13/07",575.2,10.6666666666667
"14/07",574.4,10.9333333333333
"15/07",575.066666666667,10.8387096774194
"16/07",576.129032258065,11
"17/07",575.066666666667,11.2
"18/07",573.2,9.86666666666667
"19/07",574.4,9.73333333333333
"20/07",575.333333333333,10.9333333333333
"21/07",576,11.3333333333333
"22/07",576.133333333333,11.5333333333333
"23/07",576.533333333333,12.1290322580645
"24/07",574.666666666667,11.4193548387097
"25/07",573.6,10.2666666666667
"26/07",574.133333333333,10.8666666666667
"27/07",576.533333333333,12
"28/07",576.666666666667,11.3333333333333
"29/07",577.733333333333,12.0666666666667
"30/07",576.666666666667,12.0666666666667
"31/07",575.866666666667,12.2
"01/08",576.133333333333,12.0666666666667
"02/08",575.466666666667,11.6666666666667
"03/08",575.466666666667,11.1333333333333
"04/08",576.266666666667,10.9333333333333
"05/08",577.066666666667,11.4
"06/08",576.4,11.4
"07/08",575.466666666667,11.4
"08/08",574.133333333333,11.4666666666667
"09/08",574.533333333333,10.9333333333333
"10/08",575.466666666667,12
"11/08",574,11.1333333333333
"12/08",574.193548387097,11.2666666666667
"13/08",573.733333333333,10.8
"14/08",574.4,11.1515151515152
"15/08",575.466666666667,11.4838709677419
"16/08",576.4,11.5333333333333
"17/08",574.666666666667,11
"18/08",574.933333333333,10.4666666666667
"19/08",575.733333333333,11.6666666666667
"20/08",575.354838709677,11.6666666666667
"21/08",573.866666666667,10.5333333333333
"22/08",574.933333333333,10.7333333333333
"23/08",574.666666666667,10.5625
"24/08",574.4,10.6
"25/08",573.066666666667,10.0666666666667
"26/08",573.333333333333,10.4666666666667
"27/08",574,10.2
"28/08",571.866666666667,9.2
"29/08",571.2,8.2
"30/08",571.466666666667,8.26666666666667
"31/08",572.4,8.66666666666667
"01/09",571.333333333333,8.8
"02/09",572.533333333333,7.86666666666667
"03/09",572.133333333333,8.66666666666667
"04/09",570.451612903226,7.86666666666667
"05/09",572.129032258065,7.61290322580645
"06/09",571.6,7.93333333333333
"07/09",571.733333333333,8.13333333333333
"08/09",571.866666666667,8.2
"09/09",571.6,8.4
"10/09",572.133333333333,8.73333333333333
"11/09",571.466666666667,8.46666666666667
"12/09",571.2,8.64516129032258
"13/09",569.935483870968,8
"14/09",568.774193548387,7.26666666666667
"15/09",569.375,7.4
"16/09",568.8,7.26666666666667
"17/09",568.4,7.46666666666667
"18/09",570.266666666667,7.66666666666667
"19/09",571.466666666667,8.26666666666667
"20/09",571.466666666667,8.4
"21/09",571.466666666667,8.33333333333333
"22/09",570.8,8.73333333333333
"23/09",569.290322580645,8.33333333333333
"24/09",567.733333333333,7.66666666666667
"25/09",565.6,6.86666666666667
"26/09",567.6,6.73333333333333
"27/09",568.266666666667,6.53333333333333
"28/09",568.129032258065,6.26666666666667
"29/09",568,6.53333333333333
"30/09",569.2,6.7741935483871
"01/10",568.8,7.33333333333333
"02/10",567.466666666667,7
"03/10",566.666666666667,6.46666666666667
"04/10",566.133333333333,6.53333333333333
"05/10",565.466666666667,6.25806451612903
"06/10",564.266666666667,6
"07/10",564.933333333333,5.13333333333333
"08/10",564.387096774194,4.86666666666667
"09/10",566.4,5.26666666666667
"10/10",568,6.33333333333333
"11/10",568.533333333333,6.46666666666667
"12/10",566.4,6.53333333333333
"13/10",566.933333333333,6.06451612903226
"14/10",567.733333333333,6.66666666666667
"15/10",566.266666666667,6.46666666666667
"16/10",565.066666666667,5.4
"17/10",564.533333333333,5
"18/10",562.533333333333,4.26666666666667
"19/10",562.666666666667,4.13333333333333
"20/10",561.866666666667,4.26666666666667
"21/10",561.866666666667,4.4
"22/10",561.733333333333,3.6
"23/10",562.8,4.6
"24/10",560.666666666667,3.33333333333333
"25/10",562,3.6
"26/10",562.266666666667,3.73333333333333
"27/10",564.4,4.46666666666667
"28/10",565.733333333333,5.16129032258065
"29/10",563.6,4.7741935483871
"30/10",561.866666666667,3.86666666666667
"31/10",562.266666666667,4.26666666666667
"01/11",563.333333333333,4.2
"02/11",563.333333333333,3.86666666666667
"03/11",561.290322580645,4.4
"04/11",560,3.06666666666667
"05/11",559.333333333333,2.73333333333333
"06/11",560.4,2.70967741935484
"07/11",559.6,2.4
"08/11",557.733333333333,1.61290322580645
"09/11",556.666666666667,1.86666666666667
"10/11",556.266666666667,0.866666666666667
"11/11",558.533333333333,1.73333333333333
"12/11",557.548387096774,1.86666666666667
"13/11",555.733333333333,1.6
"14/11",553.333333333333,0.8125
"15/11",553.6,-0.266666666666667
"16/11",555.866666666667,0.4
"17/11",554.8,0.0666666666666667
"18/11",553.2,-0.866666666666667
"19/11",553.466666666667,-0.733333333333333
"20/11",552.4,-0.333333333333333
"21/11",551.733333333333,-0.6
"22/11",551.066666666667,-1.26666666666667
"23/11",550.8,-0.933333333333333
"24/11",551.333333333333,-0.733333333333333
"25/11",553.466666666667,0.2
"26/11",551.066666666667,0
"27/11",551.866666666667,-0.6
"28/11",552.266666666667,-0.580645161290323
"29/11",552.4,-0.533333333333333
"30/11",553.866666666667,-0.333333333333333
"01/12",554.451612903226,0.2
"02/12",555.2,0
"03/12",554.533333333333,0.129032258064516
"04/12",555.2,0.333333333333333
"05/12",554,0.2
"06/12",552.933333333333,-0.6
"07/12",554,-1.6
"08/12",553.066666666667,-0.6
"09/12",553.066666666667,-0.2
"10/12",551.733333333333,-1.4
"11/12",554.8,-0.933333333333333
"12/12",555.6,-0.8
"13/12",552.266666666667,-1.86666666666667
"14/12",552,-1.8
"15/12",551.333333333333,-2
"16/12",550.533333333333,-2.13333333333333
"17/12",549.41935483871,-1.74193548387097
"18/12",549.333333333333,-1.73333333333333
"19/12",548.933333333333,-1.8
"20/12",549.066666666667,-2.26666666666667
"21/12",550,-1.66666666666667
"22/12",551.2,-0.866666666666667
"23/12",553.066666666667,-0.733333333333333
"24/12",552.533333333333,-0.8
"25/12",552.133333333333,-0.709677419354839
"26/12",548.666666666667,-2.06666666666667
"27/12",548,-2
"28/12",548.4,-2.46666666666667
"29/12",550.8,-1.93333333333333
"30/12",552.133333333333,-1.26666666666667
"31/12",550.933333333333,-1.26666666666667
